Country,Year,Central.bank.key.interest.rate,Long-term.interest.rate.on.government.bonds,Short-term.interest.rate
LVA,2015,-0.225,0.963333333333333,-0.01937570144069
LVA,2016,-0.4,0.534166666666667,-0.263695659232072
LVA,2017,-0.4,0.834166666666667,-0.329056115557889
LVA,2018,-0.4,0.9025,-0.322092958103428
LVA,2019,-0.45,0.3425,-0.356319350335655
LVA,2020,-0.5,-0.0625,-0.425159624976473
LVA,2021,-0.5,-0.0025000000000002,-0.548756292741075
LVA,2022,0.4375,2.2725,0.341555418515784
LVA,2023,3.625,3.82833333333334,3.43080056073154
LVA,2024,3.5625,3.32833333333334,3.58563521080369
MEX,2015,3.0625,6.51615827657647,3.14333333333333
MEX,2016,4.625,6.42751947910046,4.33916666666667
MEX,2017,6.9375,7.16350073608617,6.87666666666667
MEX,2018,7.8125,7.58730791532474,7.82916666666667
MEX,2019,7.875,7.50374788809388,7.9325
MEX,2020,5.0,6.30715564269372,5.32833333333334
MEX,2021,4.5625,6.7713967306269,4.62583333333334
MEX,2022,8.5,8.51067848935587,8.24583333333333
MEX,2023,11.25,8.45331054930128,11.3516666666667
MEX,2024,10.625,9.06834227671521,10.8108333333333
NLD,2015,-0.225,0.690333333333334,-0.01937570144069
NLD,2016,-0.4,0.291083333333334,-0.263695659232072
NLD,2017,-0.4,0.522083333333333,-0.329056115557889
NLD,2018,-0.4,0.576916666666667,-0.322092958103428
NLD,2019,-0.45,-0.0701666666666667,-0.356319350335655
NLD,2020,-0.5,-0.376833333333334,-0.425159624976473
NLD,2021,-0.5,-0.328083333333334,-0.548756292741075
NLD,2022,0.4375,1.37766666666667,0.341555418515784
NLD,2023,3.625,2.792,3.43080056073154
NLD,2024,3.5625,2.64181051195182,3.58563521080369
NOR,2015,0.9375,1.565,1.29067460316667
NOR,2016,0.5,1.33166666666667,1.06666666666667
NOR,2017,0.5,1.6375,0.89
NOR,2018,0.625,1.87916666666667,1.06666666666667
NOR,2019,1.3125,1.49416666666667,1.5525
NOR,2020,0.0625,0.817499999999999,0.699166666666668
NOR,2021,0.1875,1.41587037037037,0.504166666666667
NOR,2022,1.75,2.87841302910053,2.13833333333334
NOR,2023,3.875,3.43080983789761,4.21
NOR,2024,4.5,3.50360984613213,4.75083333333333
NZL,2015,3.0,3.42333333333334,3.24083333333334
NZL,2016,2.0625,2.76166666666667,2.33
NZL,2017,1.75,2.99083333333334,1.9575
NZL,2018,1.75,2.75416666666667,1.94666666666667
NZL,2019,1.3125,1.64916666666667,1.51916666666667
NZL,2020,0.25,0.890833333333334,0.481666666666666
NZL,2021,0.375,1.815,0.488333333333333
NZL,2022,2.5625,3.63916666666667,2.76583333333334
NZL,2023,5.3125,4.62416666666667,5.47833333333333
NZL,2024,5.125,4.5125,5.23416666666667
POL,2015,1.5,2.70055645741667,1.73833333333333
POL,2016,1.5,3.03568922308333,1.70166666666667
POL,2017,1.5,3.42,1.72916666666667
POL,2018,1.5,3.19833333333334,1.71083333333333
POL,2019,1.5,2.3475,1.7175
POL,2020,0.325,1.49916666666667,0.595
POL,2021,0.5125,1.94416666666667,0.605
POL,2022,5.75,6.05333333333333,6.18916666666667
POL,2023,6.3125,5.80583333333333,6.51833333333334
POL,2024,5.75,5.48416666666667,5.855
PRT,2015,-0.225,2.42333333333333,-0.01937570144069
PRT,2016,-0.4,3.17166666666667,-0.263695659232072
PRT,2017,-0.4,3.0525,-0.329056115557889
PRT,2018,-0.4,1.83916666666667,-0.322092958103428
PRT,2019,-0.45,0.757500000000002,-0.356319350335655
PRT,2020,-0.5,0.416666666666666,-0.425159624976473
PRT,2021,-0.5,0.295,-0.548756292741075
PRT,2022,0.4375,2.17,0.341555418515784
PRT,2023,3.625,3.2375,3.43080056073154
PRT,2024,3.5625,2.96231051195182,3.58563521080369
SVK,2015,-0.225,0.88525,-0.01937570144069
SVK,2016,-0.4,0.54440925,-0.263695659232072
SVK,2017,-0.4,0.915360666666667,-0.329056115557889
SVK,2018,-0.4,0.885511,-0.322092958103428
SVK,2019,-0.45,0.24631075,-0.356319350335655
SVK,2020,-0.5,-0.03828775,-0.425159624976473
SVK,2021,-0.5,-0.080235166666667,-0.548756292741075
SVK,2022,0.4375,2.07405458333333,0.341555418515784
SVK,2023,3.625,3.64920191666667,3.43080056073154
