"Country","Quarter","S_mean_tw","theta_pct","F_CP","F_CP_above","F_CP_below_adj_mid","F_DI","F_H","y_t_pct","debt_dR","excess_mortality","vax_rate"
"CZE","Q2.2022",4.72142628205128,1.16051190594221,0,0,0,0,0,-8.50734616091279,1.4982437810001,2.34372674149639,65.55
"CZE","Q3.2022",1.69413919413919,3.24659125141945,0,0,0,0,0,-9.19629013405363,0.800459567125586,3.67111180992076,65.63
"CZE","Q4.2022",0,5.13211385873426,0,0,0,0,0,-10.3203348010974,0.811891108065076,9.82121154729564,65.67
"DEU","Q4.2019",0,0,0,0,0,0,0,-1.17541025503752,-0.963662044375333,0,0
"DEU","Q1.2020",30.4613095238095,0.147363820925906,21.6537887244314,2.46009770806454,8.60236876821154,0.366187790840956,0.536701410533335,-3.59152835527002,0.500492730713404,-6.33555861384239,0
"DEU","Q2.2020",54.235347985348,0.0233341190167794,2.60767036481835,1.39879097142691,0.555028171560821,1.91415027326365,0,-12.5190674324298,3.45060966728824,2.69985048563406,0
"DEU","Q3.2020",40.5563186813187,0.10050831186908,0.706281439816761,0.706281439816761,0,0.0811817746915817,0.242095649526681,-5.33144925481839,2.12823585161991,1.69243157419755,0
"DEU","Q4.2020",55.5517399267399,0.745155564103422,0.48709064814949,0.48709064814949,0,0,0.22324988040185,-4.82075825451719,-0.877631171864131,13.2789850149832,0
"DEU","Q1.2021",72.9510073260073,0.125555902648087,1.48649628158478,1.48649628158478,0,0.215160696423653,0.107275916556733,-5.80751888191634,0.171686951501776,3.48946003352042,5.1
"DEU","Q2.2021",64.9839743589744,0.248518819553072,0.101477218364477,0.0289934909612792,0.0253693045911193,0,0,-4.00187968079119,1.2912647507155,4.10650434243693,37.56
"DEU","Q3.2021",48.1436074862637,0.322783682787596,0.510285440918514,0.510285440918514,0,0.0483321494324524,0,-4.3258434976342,-0.19714876956499,2.82547886163712,64.27
"DEU","Q4.2021",25.0929796245421,1.31395713774363,0.0608863310186863,0.0434902364419188,0.00608863310186863,0,0.594366564706223,-4.21890402301414,0.803388179061663,17.3373254713362,70.96
"DEU","Q1.2022",30.7654727564103,1.30264600572409,0,0,0,0,0,-3.9779743541907,-0.754074789907747,-0.414379328780092,75.7
"DEU","Q2.2022",5.50797733516483,3.61909967561402,0,0,0,0,0,-4.23959939220819,0.269678131258736,6.93398907223927,76.04
"DEU","Q3.2022",0.595927197802198,7.7050857948966,0,0,0,0,0,-4.36527301674535,0.400764739140307,11.759116257212,76.17
"DEU","Q4.2022",0,12.8547691018491,0,0,0,0,0,-5.10308160828787,-0.448621350943952,22.0242676800287,76.23
"DNK","Q4.2019",0,0,0,0,0,0,0,-0.598783690362038,-0.21759753720054,0,0
"DNK","Q1.2020",37.4404761904762,0.0524231487512543,7.94121599113764,4.4415506196352,1.22488288002585,1.676382918695,0.0257506242150056,-1.97751297170962,1.03134914284793,-7.26890795422534,0
"DNK","Q2.2020",60.782967032967,0.024837621992127,13.8985938081982,0.467702193166839,13.3225185453019,0.840351746613858,0.608635013849602,-8.30605192867991,5.71685490583477,0.0741756244298954,0
"DNK","Q3.2020",48.9125457875458,0.0230934438332763,0,0,0,2.24669875701391,0,-3.31925007447441,1.44594214211528,0.0411769155508682,0
"DNK","Q4.2020",40.2014652014652,0.173672600832543,0,0,0,0,0.196758964220026,-3.82497337986503,-0.0743247266303868,2.48789210634706,0
"DNK","Q1.2021",60.3937728937729,0.0488880500040364,0.496866071262692,0.496866071262692,0,0,0,-3.8613887332559,-1.74958828277104,-4.18307324027352,5.32
"DNK","Q2.2021",50.1033653846154,0.1159907942838,0.0561674689253478,0.0561674689253478,0,0.00686971350702331,0,-1.09987604668862,-0.100648385920714,-1.48666634133096,29.9
"DNK","Q3.2021",28.1839606227106,0.446970265612605,0,0,0,0,0,0.286896504401523,0.480764616500622,6.74191415151204,72.47
"DNK","Q4.2021",16.1557371794872,0.738229403774285,0.00747459394160398,0.00747459394160398,0,0,0,2.98926986395479,-2.11963147579959,11.5150886403775,77.05
"DNK","Q1.2022",11.2655471611722,1.65979444291348,0,0,0,0,0,-3.00415401999248,-5.31670168264987,4.52440841922986,80.29
"DNK","Q2.2022",0.0411092032967033,1.76016761553394,0,0,0,0,0,-1.80310020130719,-1.52305691220742,3.2741549173575,80.43
"DNK","Q3.2022",0,2.78767588087028,0,0,0,0,0,-1.03945756198887,-0.594657190200884,6.28099684785431,80.48
"DNK","Q4.2022",0,4.32576714664949,0,0,0,0,0,-2.91166707922032,-0.086082853399045,8.68556299671692,80.5
"ESP","Q4.2019",0,0,0,0,0,0,0,-0.624747674040118,-1.04210614255838,0,0
"ESP","Q1.2020",34.8809523809524,2.03340225520743,9.60257232816014,0.427501603991228,3.74679502879154,1.55755216886113,0,-6.34033241168968,1.83216635118048,9.8556102776809,0
"ESP","Q2.2020",66.3232600732601,0.0959158878738109,1.86962525357462,1.28970611026305,0.339148347170968,0.26547158948103,0.00562099554255054,-23.4689677113002,5.50916201001948,29.7006429013455,0
"ESP","Q3.2020",43.4065934065934,0.292589052458472,4.37835402796526,0.243308807056116,1.99573045238575,0.0173447862455845,0,-11.8359214276018,0.391952554062627,9.32419592291951,0
"ESP","Q4.2020",61.092032967033,0.442559726818787,0.156183376146583,0.0377409700714107,0.0662474474657742,0.0145342884743092,0.0746789407796,-11.7337416290226,-0.745674595821399,17.1137011560713,0
"ESP","Q1.2021",66.1057692307692,0.183914510229076,2.64989789863097,0.883299299543655,1.19245405438393,0,0,-11.2139825179419,2.13566665980736,4.51378392890813,5.72
"ESP","Q2.2021",51.3621794871795,0.0588640250725235,0,0,0,0.0321199745288602,0,-10.541786102307,2.96011770777453,0.423431358910934,37.83
"ESP","Q3.2021",31.1801717032967,0.558976606815551,1.08292494124052,1.08292494124052,0,0,0,-9.33082163239983,0.165764589813151,9.73280580677566,77.1
"ESP","Q4.2021",26.0758653846154,0.441855318765172,0,0,0,0,0,-8.04903815370304,-1.23741720703511,7.74896412269558,79.63
"ESP","Q1.2022",20.8112957875458,1.41141988923834,0,0,0,0,0,-7.16939904439191,0.430324725929154,0.780667049464582,84.61
"ESP","Q2.2022",14.6131856684982,6.14902675037262,0,0,0,0,0,-6.16154068456626,1.77670839431171,10.7172490424528,85.29
"ESP","Q3.2022",8.43869276556777,6.16463079154452,0,0,0,0,0,-5.96889958179659,1.66827084685178,19.8443557142305,85.48
"ESP","Q4.2022",0.79719387755102,3.2217299956716,0,0,0,0,0,-6.03729599137753,-2.44226684353656,7.28883104239119,85.62
"EST","Q4.2019",0,0,0,0,0,0,0,-1.00735958635444,-0.939892796475146,0,0
"EST","Q1.2020",21.1904761904762,0.0378293430141536,6.40295959021059,0.889299943084804,2.04538986909505,0.0142287990893569,0,-3.72684724744984,0.521036493189943,-7.16866483229247,0
"EST","Q2.2020",51.6025641025641,0.0788739655294552,7.57585609911534,5.01209447922595,2.40023347077461,0.45176437108708,0.786141149686966,-9.41285186757305,8.39553435143912,2.03310669696311,0
"EST","Q3.2020",25.503663003663,0.151875583258193,0.505122367672168,0.505122367672168,0,0,0,-6.48886253917556,-0.278968464955717,3.84258500617346,0
"EST","Q4.2020",32.6923076923077,0.344461967428241,0.302361980648833,0.302361980648833,0,0,0,-5.67763280524861,-0.281501396966522,5.30913714331664,0.01
"EST","Q1.2021",38.3898134157509,0.937589364722974,0.981787137165623,0.881474103585657,0.100313033579966,0.0165765509391007,0,-2.78800327153714,0.416935521220676,15.1440483556105,5.37
"EST","Q2.2021",41.9288644688645,0.85941667194496,0.385244735344337,0.385244735344337,0,0,0.892857142857143,-1.66246094794933,1.31888306281984,17.2393629188593,33.91
"EST","Q3.2021",15.2525961538462,0.857533607044094,0,0,0,0,0,-3.08139850542315,0.178057989151821,13.161604197612,54.68
"EST","Q4.2021",25.3221737637363,1.84446968116748,0,0,0,0,0,-2.63701557441636,-0.665883864641682,27.7311928193282,62.41
"EST","Q1.2022",33.6057188644689,6.70382627692784,0,0,0,0,0,-4.38557281298323,-0.615800946722327,10.4583030758981,64.19
"EST","Q2.2022",12.3466174450549,4.30794671962863,0,0,0,0,0,-6.62897124775296,-0.307931231162001,3.34597947113854,64.51
"EST","Q3.2022",0,4.97427434720349,0,0,0,0,0,-7.90045082499146,-0.811883364489805,10.2348327199874,64.8
"EST","Q4.2022",0,7.37044278955416,0,0,0,0,0,-10.4703692690237,3.26269639692435,12.0080861555739,64.92
"FIN","Q4.2019",0,0,0,0,0,0,0,-1.12568431083081,-0.933983863629898,0,0
"FIN","Q1.2020",33.2440476190476,0.0704293589171038,5.23784383742731,0.41570189185931,1.95795591065735,0.378288721591972,0,-1.80455745841298,4.29153958057649,-5.03334684095377,0
"FIN","Q2.2020",52.3809523809524,0.0944199832732855,2.83373933494528,1.24465303441596,1.03431012865454,1.79404465469722,1.07666789991561,-8.64453286168812,2.70617766908744,4.84142702241667,0
"FIN","Q3.2020",26.0874542124542,0.0741943906819031,0,0,0,0.0249421135115586,0.083140378371862,-4.58599882029636,-1.48615662058841,2.63413403578455,0
"FIN","Q4.2020",30.2598443223443,0.0801977356969414,0.749302660076406,0.582398350494893,0.166904309581513,0,0.449789446991773,-4.10456092386717,1.44259835843383,1.53938071364704,0
"FIN","Q1.2021",34.375,0.0114104589321931,0,0,0,0,0,-5.25194514884954,1.73191490941925,-3.70738965217477,1.65
"FIN","Q2.2021",33.9858058608059,0.205805422959025,0.460181994288256,0.083140378371862,0.201407566605836,0.120137846747341,0.247758327548149,-4.21287495119507,0.0677121455415914,0.547270101191585,17.83
"FIN","Q3.2021",26.7628205128205,0.574650276640164,0,0,0,0,0,-3.6075921459113,-0.834475590261881,9.5612694298361,61.46
"FIN","Q4.2021",16.8332944139194,0.765380893347591,0.0718332869132887,0.0718332869132887,0,0.00432329967533682,0.00153809699987945,-3.28507261011647,-2.15693250354465,12.4020620796305,73.73
"FIN","Q1.2022",13.2545707417582,6.18181565178671,0,0,0,0,0,-4.4067188738515,1.14017377529984,9.90822613794322,77.77
"FIN","Q2.2022",9.375,4.52938863326855,0,0,0,0,0,-4.56626910946291,0.113275300664689,11.5081815253448,78.22
"FIN","Q3.2022",0.309065934065934,6.82052222469211,0,0,0,0,0,-5.21413822202834,-0.971045615622195,13.7555513863602,78.38
"FIN","Q4.2022",0,10.0407022125642,0,0,0,0,0,-6.51657816424321,1.05178656225985,19.4242075716077,78.46
"FRA","Q4.2019",0,0,0,0,0,0,0,-0.645048041879548,-3.71362687938849,0,0
"FRA","Q1.2020",46.7559523809524,0.771709830390678,14.7288956461371,2.3580744261057,4.33193113103473,0,0.0577151083312583,-6.08867185774826,1.82096718858267,-1.57999508727774,0
"FRA","Q2.2020",74.9542124542124,0.0331123595741331,2.58356961010011,0.473057762929421,1.27460515244285,0.537368883641395,0.329800619035762,-17.9214382651366,1.49311125806901,12.9632926371304,0
