"Country","Quarter","S_mean_tw","y_t_pct","F_CP_above_3","F_CP_loans","F_CP_guar_adj","F_DI","F_H","debt_dR"
"GRC","Q2.2021",67.566768543956,-5.11518570084292,0.737730454079891,1.50221918743599,0.0160037555479686,0.777249061113008,0,2.22033762858356
"GRC","Q3.2021",53.0572516025641,-2.76972815495267,0.369153294639809,0,0,0,0,3.70393670303625
"GRC","Q4.2021",61.5546428571429,-1.78150452324317,0.11047925913281,0,0,0,0,-7.45883393445999
"GRC","Q1.2022",59.6108173076923,-0.106571393614972,0,0,0,0,0,-0.70347630193038
"GRC","Q2.2022",26.8873992673993,-0.328445538401635,0,0,0,0,0,-2.15613826202861
"GRC","Q3.2022",3.52564102564103,0.240419653012159,0,0,0,0,0,0.149090096011633
"GRC","Q4.2022",0,0.700162235563294,0,0,0,0,0,-1.9689425991233
"HUN","Q4.2019",0,0.149668859994285,0,0,0,0,0,-0.93139559881898
"HUN","Q1.2020",31.9642857142857,-1.25731551343982,0.280635224777701,0,0,0.0235109480011783,0,-0.79473077013175
"HUN","Q2.2020",59.3063186813187,-16.5449613341264,0.990879590304205,1.36448992763202,4.25120687039487,0.191293622373223,4.25334422930407,1.11509384070749
"HUN","Q3.2020",39.6062271062271,-7.79035463927023,0.425334422930407,0,0,0.00427471781839605,0,3.46287024273735
"HUN","Q4.2020",53.2051282051282,-7.19726539949208,0.597034876183012,0,0,0.763037130583695,0.115001715764864,3.62755415575221
"HUN","Q1.2021",70.6730769230769,-7.05028474973838,0.489882661988188,0,0,0.0624108801485823,0,0.187966051024901
"HUN","Q2.2021",56.5247161172161,-6.11836744924014,0.598460494575447,0,0,0.112425078623816,0,-0.582590230373803
"HUN","Q3.2021",20.255782967033,-6.04793106348075,0.213735890919803,0,0,0.320603836379704,0.111741123772873,3.41190399612848
"HUN","Q4.2021",21.8779109432234,-4.76747125809568,0,0,0,0.213735890919803,0,-2.05705482053536
"HUN","Q1.2022",15.1110416666667,-4.67775459504045,0,0,0,0,0,0.120469574058362
"HUN","Q2.2022",0,-4.93341514298301,0,0,0,0,0,1.23354173336057
"HUN","Q3.2022",0,-7.04909827916335,0,0,0,0,0,-0.471589911804564
"HUN","Q4.2022",0,-8.92441503425568,0,0,0,0,0,-1.42540781932242
"IRL","Q4.2019",0,-0.202745144219119,0,0,0,0,0,-2.9637667075198
"IRL","Q1.2020",24.1071428571429,1.36945753888884,1.03960618593778,0.193872504945154,0.0421461967272073,2.51078942636217,0.122223970508901,3.98061570810917
"IRL","Q2.2020",80.9294871794872,-4.56022070285207,0.572765155772343,0.799372864592699,0.702436612120122,0.00842923934544147,0.0674339147635317,4.37397040482309
"IRL","Q3.2020",44.1792582417582,4.94472824433592,0.884789156626506,0.141189759036145,0,0.26636396331595,0,0.135575962710448
"IRL","Q4.2020",67.5423534798535,0.566666939075036,0.612833396365312,0,0,0.0944074806689444,0,-3.6038058854845
"IRL","Q1.2021",84.3177655677656,8.59278065958714,0.0763689084696997,0,0,0.08063972307139,0,4.38883888475494
"IRL","Q2.2021",62.1794871794872,9.74839760179804,1.47601600431577,0,0,0,0,0.872895644999005
"IRL","Q3.2021",34.3654212454212,11.1317790670106,0.0474847149793203,0,0.561949289696098,1.06993177935623,0,-1.23880486366381
"IRL","Q4.2021",34.7867445054945,7.36799592427341,0.0245852814242043,0,0,0.112670832584068,1.3537358388779,-1.32056268612252
"IRL","Q1.2022",12.5810828754579,9.8111737046283,0,0,0,0,0,-0.861957552102069
"IRL","Q2.2022",0,10.9039410504277,0,0,0,0,0,-1.38618257040489
"IRL","Q3.2022",0,11.2835439709879,0,0,0,0,0,-1.07151707784322
"IRL","Q4.2022",0,7.94277714688766,0,0,0,0,0,-3.22706405054793
"ISL","Q4.2019",0,-0.774880880364942,0,0,0,0,0,4.59516541793076
