Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
LUX,2015,,1.04,0.28,99.86,,101.76,93.98,,,14.3,,,6.46
LUX,2016,,0.75,2.33,101.34,,102.52,96.17,,,12.84,,,6.33
LUX,2017,,0.76,-0.86,102.55,,103.3,95.34,,,12.08,,,5.62
LUX,2018,,0.64,-0.75,102.3,,103.96,94.63,,,11.54,,,5.5
LUX,2019,,0.44,0.81,102.3,,104.42,95.39,,,10.81,,,5.59
LUX,2020,,-9.87,-2.42,98.86,,94.11,93.09,,,13.84,,,6.69
LUX,2021,,9.63,5.5,101.26,,103.17,98.2,,,10.94,,,5.43
LUX,2022,,0.09,-0.81,95.7,,103.26,97.41,,,9.7,,,4.6
LUX,2023,,2.09,-2.94,97.49,,105.42,94.54,,,11.06,,,5.22
LUX,2024,,,,98.94,,,,,,,,,
LVA,2015,,2.71,4.67,103.56,,99.25,104.04,,,16.71,,,9.88
LVA,2016,,4.86,3.49,102.92,,104.08,107.67,,,16.8,,,9.63
LVA,2017,,3.77,4.37,102.26,,108.0,112.38,,,15.53,,,8.71
LVA,2018,,4.41,5.12,102.7,,112.77,118.13,,,12.79,,,7.4
LVA,2019,,0.57,1.36,103.08,,113.41,119.74,,,11.21,,,6.32
LVA,2020,,-4.16,-2.84,99.72,,108.69,116.33,,,14.07,,,8.09
LVA,2021,,8.98,7.86,100.48,,118.44,125.48,,,15.04,,,7.57
LVA,2022,,5.02,1.73,96.17,,124.38,127.65,,,12.08,,,6.86
LVA,2023,,-0.79,1.96,97.97,,123.41,130.15,,,10.78,,,6.51
LVA,2024,,,,100.7,,,,,,,,,
MEX,2015,5.57,1.52,1.54,98.46,,102.09,102.28,107.08,20.56,23.64,94.1,11.81,4.35
MEX,2016,-0.03,0.77,0.62,97.17,,102.87,102.91,106.78,21.35,22.12,93.27,11.19,3.88
MEX,2017,-0.48,0.56,0.71,96.44,,103.45,103.64,104.7,22.02,20.91,98.55,11.43,3.42
MEX,2018,-0.06,0.21,0.71,99.33,,103.66,104.37,106.7,22.21,20.44,90.84,9.88,3.32
MEX,2019,1.68,-0.41,-1.69,103.22,,103.24,102.61,105.06,22.97,20.99,95.69,13.85,3.49
MEX,2020,-6.78,-10.85,-9.39,97.71,,92.03,92.98,105.26,25.06,,112.46,18.15,4.43
