Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_us.1,qf_ppp,gdp_ppp_bn,gdp_real_bn
IRL,Q4.2020,0.7886772046160297,0.7886772046160297,0.0,0.0,0.1736772046160291,0.0,0.1736772046160291,0.0,0.21231443463198943,0.18872807987832996,0.21231443463198943,0.18872807987832996,0.0,0.0,0.0,0.0,0.046754460875370274,0.04156043201702142,0.0,0.0,0.046754460875370274,0.04156043201702142,0.0,0.0,417.89075855828,371.46659669328
ISR,Q4.2020,0.973540694996057,0.44152575336758204,0.532014941628475,0.003791341716091079,0.018588105913613262,0.0,0.018588105913613262,0.0,0.27158958003625544,0.2843312066236166,0.1231728622631215,0.12895151774925487,0.14841671777313395,0.15537968887436174,0.0010576742294797267,0.001107295021563527,0.0051855417084214536,0.00542882142516564,0.0,0.0,0.0051855417084214536,0.00542882142516564,0.0,0.0,342.39670930134,358.46025273359
LVA,Q4.2020,0.007929281333562826,0.007929281333562826,0.0,0.0,0.0,0.0,0.0,0.0,0.02629065302469077,0.014306948431606846,0.02629065302469077,0.014306948431606846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42258974,30.16007752305
LTU,Q4.2020,0.0,0.0,0.0,0.0,0.05802999560922034,0.05802999560922034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12035231187887308,0.05974093208512036,0.12035231187887308,0.05974093208512036,0.0,0.0,0.0,0.0,97.1360733484,48.21676850514
LUX,Q4.2020,0.0,0.0,0.0,0.021423395009906088,0.45530536543989036,0.45530536543989036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03218780202179363,0.03229163373227428,0.6840782684286524,0.6862849744555348,0.6840782684286524,0.6862849744555348,0.0,0.0,0.0,0.0,66.34348446884,66.55749589674
NLD,Q4.2020,2.486056968778037,2.486056968778037,0.0,0.0,1.992282581698035,0.0,1.992282581698035,0.0,0.29587095516490514,0.2666183143728378,0.29587095516490514,0.2666183143728378,0.0,0.0,0.0,0.0,0.23710580964487524,0.21366325484801102,0.0,0.0,0.23710580964487524,0.21366325484801102,0.0,0.0,932.44043441875,840.25042856688
NZL,Q4.2020,2.2603788228926915,2.0118179613490823,0.24856086154360924,0.0,0.0,0.0,0.0,0.0,1.1138213198458626,1.165301068574781,0.9913407939877106,1.0371596107672962,0.12248052585815204,0.12814145780748482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.97380504055,202.93908750153
NOR,Q4.2020,13.348965621899447,1.1414792455781,12.207486376321347,0.0,0.17176997453820242,0.17176997453820242,0.0,0.0,3.2538664984422607,4.0395803375278465,0.27824036566252114,0.34542729727078975,2.9756261327797398,3.694153040257057,0.0,0.0,0.04186965353114812,0.051979953456756905,0.04186965353114812,0.051979953456756905,0.0,0.0,0.0,0.0,330.45426768437,410.24933347112
PRT,Q4.2020,3.611585623737889,0.6751212736122203,2.936464350125669,0.0,0.0,0.0,0.0,0.0,1.6241891285072554,1.058445796835959,0.3036130794789432,0.19785749220859525,1.3205760490283123,0.8605883046273638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.21592570296,222.36238134762
SVK,Q4.2020,1.481463649586885,0.0,1.481463649586885,0.0,0.0,0.0,0.0,0.0,1.489071896055503,0.8152822811717515,0.0,0.0,1.489071896055503,0.8152822811717515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.71174374815,99.48906117369
SVN,Q4.2020,0.34098922567069284,0.34098922567069284,0.0,0.1,0.31410316138480565,0.31410316138480565,0.0,-0.11431613976919908,0.6763246782876899,0.44844954956999594,0.6763246782876899,0.44844954956999594,0.0,0.0,0.19834194964882682,0.13151428720011285,0.6229983341992245,0.4130905337682473,0.6229983341992245,0.4130905337682473,0.0,0.0,-0.2267368603815073,-0.1503420563721469,76.03736607555,50.41797772839
SWE,Q4.2020,2.5312199052560214,2.5312199052560214,0.0,1.9866714963131784,0.0,0.0,0.0,0.0,0.46037139491832463,0.48583456577248674,0.46037139491832463,0.48583456577248674,0.0,0.0,0.3613304107252842,0.38131561850461376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.00449074292,549.82128194674
CHE,Q4.2020,5.73377213285733,0.4120682110331133,5.321703921824216,0.0,0.0,0.0,0.0,0.0,0.7674604541863874,0.970486484878609,0.05515497460790255,0.06974581835299692,0.7123054795784849,0.9007406665256121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.81421763174,747.10978286639
CHL,Q4.2020,0.468695563479296,0.468695563479296,0.0,0.0,0.0,0.0,0.0,-1.1142321069096255,0.17891912288063316,0.10621064799126645,0.17891912288063316,0.10621064799126645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4253452492142406,-0.2524950592854781,441.28867711817,261.95945739796
COL,Q4.2020,4.009842186349431,0.5469884730336863,3.462853713315744,0.0024757725592319257,8.49730823577513,7.616072177127631,0.8812360586474997,0.0,1.2475955934881124,0.5807417042868294,0.17018635071693314,0.07921983043029203,1.0774092427711792,0.5015218738565373,0.00077029538616046,0.00035856383085836,2.643795894898961,1.2306572272329648,2.3696139763850126,1.1030286306961334,0.27418191851394846,0.12762859653683137,0.0,0.0,690.46912883132,321.40560669491
CRI,Q4.2020,0.0,0.0,0.0,-0.002371875370264731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036840377184283357,-0.002599785917031557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.23348790861,64.38249419652
HUN,Q4.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.88816247971,147.38397429587
POL,Q4.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.42286899201,571.50311712429
AUS,Q1.2021,0.8303883820210576,9.87108310841478e-05,0.8302896711899734,0.0,0.00020812524626023787,8.919653411254558e-05,0.0001189287121476923,0.0,0.05555279487268556,0.06770303636278477,6.603732265116057e-06,8.048068989145961e-06,0.05554619114042044,0.06769498829379562,0.0,0.0,1.3923531884179185e-05,1.696882015771398e-05,5.967227950430416e-06,7.272351496245894e-06,7.95630393374877e-06,9.696468661468086e-06,0.0,0.0,1226.51571721458,1494.77336635199
CAN,Q1.2021,0.509480494352303,0.0832030432363382,0.4262774511159648,0.13419845683279874,0.008209787947418778,0.008209787947418778,0.0,0.0,0.030029409753457147,0.02956100937489166,0.004904090158063805,0.004827595891096339,0.025125319595393342,0.02473341348379532,0.007909822835586498,0.007786444985638977,0.0004838950440594389,0.0004763472226508842,0.0004838950440594389,0.0004763472226508842,0.0,0.0,0.0,0.0,1723.48815255626,1696.60508992738
FRA,Q1.2021,0.5252095613154886,1.1950101937878337,-0.6698006324723451,16.71460147714675,0.0,0.0,0.0,0.0,0.020070584506225325,0.01806650348573679,0.04566663451469824,0.04110674561499497,-0.025596050008472915,-0.023040242129258183,0.6387389837205145,0.5749598409694217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907.09024981028,2616.81248571801
DEU,Q1.2021,1.1077695919685908,0.12073783018730921,0.9870317617812816,0.0,2.795986302562582,0.30184457546828014,2.494141727094302,0.0,0.03079432499386398,0.02661765727158786,0.003356329699603616,0.002901107059573533,0.027437995294260362,0.023716550212014326,0.0,0.0,0.07772420501856987,0.06718238673207336,0.008390824249009237,0.007252767648934004,0.06933338076956064,0.059929619083139346,0.0,0.0,4161.78471555813,3597.31733749424
